Date;USDMXN;USDJPY;GBPUSD;EURUSD;USDCHF;USDCAD
2004.09.20;-0,00026;0,00191;-0,00279;-0,00066;0,00354;-0,00216
2004.09.21;-0,00394;-0,00118;0,00552;0,01264;-0,01457;-0,00535
2004.09.22;0,00070;0,00744;-0,00154;-0,00504;0,00470;-0,00311
2004.09.23;-0,00220;0,00127;0,00223;0,00042;0,00056;-0,00258
2004.09.24;0,00290;-0,00181;0,00387;0,00032;0,00000;-0,00446
2004.09.27;0,00035;0,00568;0,00371;0,00261;-0,00048;-0,00204
2004.09.28;-0,00018;0,00126;0,00116;0,00106;-0,00008;-0,00031
2004.09.29;-0,00070;-0,00261;-0,00741;0,00129;-0,00087;-0,00110
2004.09.30;-0,00387;-0,00850;0,00692;0,00783;-0,01038;-0,00648
2004.10.01;-0,00335;0,00363;-0,00758;-0,00153;0,00313;-0,00056
2004.10.04;-0,00301;0,00334;-0,00826;-0,01012;0,01193;0,00908
2004.10.05;-0,00231;0,00189;-0,00078;0,00212;-0,00214;-0,00892
2004.10.06;0,00107;0,00252;-0,00192;-0,00285;0,00301;-0,00103
2004.10.07;-0,00195;-0,00207;0,00169;0,00147;-0,00229;-0,00040
2004.10.08;-0,00080;-0,01460;0,00710;0,00898;-0,00971;-0,00661
2004.10.11;-0,00241;-0,00119;0,00194;-0,00210;0,00024;0,00263
2004.10.12;0,00205;0,00274;-0,00424;-0,00510;0,00423;0,00104
2004.10.13;0,00169;0,00000;0,00124;0,00227;-0,00327;0,00207
2004.10.14;0,01228;-0,00018;0,00212;0,00323;-0,00641;-0,00183
2004.10.15;0,00193;-0,00256;0,00416;0,00724;-0,00856;-0,00303
2004.10.18;0,00219;-0,00018;-0,00378;0,00081;-0,00081;0,00430
2004.10.19;-0,00236;-0,00919;0,00340;0,00239;-0,00268;-0,00064
2004.10.20;0,00429;-0,00046;0,00684;0,00478;-0,00579;-0,00935
2004.10.21;-0,00297;-0,00825;0,00614;0,00326;-0,00377;-0,00104
2004.10.22;0,00524;0,00102;0,00099;0,00561;-0,00643;-0,00759
2004.10.25;0,00304;-0,00859;0,00681;0,00941;-0,01156;-0,01051
2004.10.26;-0,00365;0,00075;-0,00320;-0,00359;0,00442;0,00278
2004.10.27;0,00252;-0,00028;-0,00427;-0,00464;0,00507;0,00082
2004.10.28;#ÉRTÉK!;#ÉRTÉK!;#ÉRTÉK!;#ÉRTÉK!;#ÉRTÉK!;#ÉRTÉK!
2004.10.29;#ÉRTÉK!;#ÉRTÉK!;#ÉRTÉK!;#ÉRTÉK!;#ÉRTÉK!;#ÉRTÉK!
2004.11.01;-0,00312;0,00688;-0,00294;-0,00360;0,00601;0,00443
2004.11.02;-0,00707;-0,00358;0,00386;-0,00204;0,00258;0,00270
2004.11.03;-0,00088;0,00047;0,00424;0,00821;-0,00942;-0,01562
2004.11.04;-0,00184;-0,00038;-0,00201;0,00374;-0,00521;-0,00017
2004.11.05;-0,00722;-0,00558;0,00724;0,00727;-0,00939;-0,00824
2004.11.08;0,00854;0,00123;-0,00145;-0,00455;0,00441;-0,00226
2004.11.09;0,00149;0,00123;0,00059;-0,00070;0,00127;0,00443
2004.11.10;-0,00254;0,01147;-0,00476;-0,00102;-0,00101;-0,00292
2004.11.11;-0,00018;-0,00271;-0,00205;0,00187;-0,00398;-0,00008
2004.11.12;-0,00714;-0,00970;0,00766;0,00463;-0,00639;-0,00234
2004.11.15;0,00344;-0,00227;-0,00587;-0,00232;0,00809;0,00735
2004.11.16;-0,00097;0,00009;0,00366;0,00170;-0,00357;-0,00593
2004.11.17;-0,00442;-0,01308;0,00334;0,00585;-0,01129;-0,00134
2004.11.18;0,00239;0,00240;-0,00599;-0,00685;0,00806;0,01117
2004.11.19;0,00370;-0,01177;0,00636;0,00693;-0,00986;-0,01318
2004.11.22;-0,00106;0,00078;-0,00015;0,00008;0,00258;-0,00438
2004.11.23;-0,00318;0,00165;0,00492;0,00436;-0,00509;0,00025
2004.11.24;-0,00479;-0,00475;0,00647;0,00616;-0,01034;-0,00524
2004.11.25;-0,00107;-0,00312;0,00566;0,00605;-0,00464;-0,00255
2004.11.26;-0,00142;0,00010;0,00091;0,00279;-0,00114;-0,00017
2004.11.29;0,00036;0,00486;-0,00053;-0,00226;0,00394;0,00771
2004.11.30;-0,00276;-0,00126;0,00899;0,00248;-0,00324;0,00185
2004.12.01;-0,00906;-0,00380;0,01224;0,00360;0,00088;-0,00363
2004.12.02;0,00396;0,00574;-0,00472;-0,00639;0,01055;0,00917
2004.12.03;-0,00540;-0,00984;0,01039;0,01534;-0,02007;-0,00386
2004.12.06;0,00441;0,01014;-0,00380;-0,00521;0,01030;0,00904
2004.12.07;0,00350;-0,00262;0,00433;0,00260;-0,00088;0,00615
2004.12.08;0,00402;0,01131;-0,00413;-0,00641;0,00708;0,00693
2004.12.09;0,00240;0,00623;-0,00714;-0,00308;0,00209;0,00484
2004.12.10;0,00576;0,00324;-0,00522;-0,00664;0,00848;0,00131
2004.12.13;-0,00639;-0,00315;0,00549;0,00784;-0,00657;0,00326
2004.12.14;-0,00169;0,00486;0,00191;-0,00083;0,00043;0,00795
2004.12.15;-0,00608;-0,00907;0,00776;0,00711;-0,01019;-0,00999
2004.12.16;0,00884;0,00316;-0,00573;-0,01147;0,01435;0,00716
2004.12.17;-0,00606;-0,00412;0,00548;0,00466;-0,00173;-0,00406
2004.12.20;-0,00484;0,00000;0,00257;0,00593;-0,00590;0,00008
2004.12.21;0,00153;0,00144;-0,00928;-0,00173;0,00356;-0,00081
2004.12.22;-0,00225;-0,00134;-0,00734;0,00165;-0,00104;0,00916
2004.12.23;0,00027;-0,00587;0,00468;0,00900;-0,00819;-0,00510
